hashtags,urls
"['Colbert', 'statues', 'GenerationAdama']",[]
[],[]
"['climatechange', 'forests', 'ClimateChange', 'ClimateCrisis', 'ClimateActionNow']",[]
,
"['BlackLivesMatter', 'BidenHarrisLandslide2020', 'Biden', 'Covid_19', 'Corona']",[]
"['ClimateChange', 'ClimateAction', 'ClimateCrisis']",[]
[],[]
,
"['ClimateChange', 'ClimateCrisis', 'ClimateAction']",[]
,
"['ClimateChange', 'ClimateAction']",[]
,['']
"['Trump', 'VoteBidenHarris', 'FAIL']",[]
"['HumanRights', 'HumanRightsViolations', 'ICantBreathe']",[]
"['coronavirus', 'COVID19']",[]
"['HumanRights', 'HumanRightsViolations']",['https://timesofindia.indiatimes.com/blogs/mind-the-gap/the-global-human-rights-regime-needs-to-be-revamped/']
[],[]
"['UnitedNations', 'HumanRights', 'ClimateChange', 'asylum']",['https://news.un.org/en/story/2020/01/1055671']
"['HumanRights', 'HumanRightsViolations']",[]
"['IraqProtests', 'Iraqi', 'Iraq', 'IraqMillionManMarch', 'HumanRights', 'Humanviolation']",[]
[],[]
['PortlandProtest'],[]
"['25thAmendmentNow', 'TrumpStroke']",[]
"['TrumpHatesOurMilitary', 'TrumpIsALoser', 'TrumpHatesVets']",[]
"['IfImHavingABadDay', 'MondayMorning', 'MondayMotivation']",['https://www.forbes.com/sites/chuckjones/2019/07/05/trump-is-falling-almost-1-million-jobs-short-vs-obama/#16934db08caa']
['MoscowHunter'],[]
"['USA', 'WakeUpAmerica']",[]
"['OhioUniversity', 'KaitlinBennet']",[]
[],[]
"['Trump', 'BlacklivesStillMatter', 'TrumpIsALiar']",[]
"['MichiganPrimary', 'MichiganPrimary', 'MichiganForBernie', 'MissouriPrimary']",['https://www.huffpost.com/entry/working-families-party-endorses-bernie-sanders-2020-democratic-presidential-primary_n_5e65dc9bc5b6670e72fa63a9']
"['FelizLunesATodos', '27Julio', 'BuenosDiasATodos']",[]
"['coronavirus', 'ResignNowtrump']",[]
['YouMayHaveALowIQ'],[]
['TrumpBooedAgain'],['https://slate.com/news-and-politics/2019/10/donald-trump-booed-world-series-us-open-veterans-impeachment.html']
"['ColombiaLivesMatter', 'bogota', 'ColombiaEnAlertaRoja']",[]
['ImpeachingHearings'],[]
['TrumpTapes'],[]
['YouMayHaveALowIQ'],[]
"['Acosta', 'AcostaMustGo']",[]
"['Palestina', 'FreePalestine', 'Palestinewillbefree']",[]
"['Palestina', 'FreePalestine', 'PalestinaLibre']",[]
[],[]
"['Trump2020', 'MAGA']",[]
"['WWG1GWA', 'wwg1wga', 'Trump2020', 'Trump2020LandslideVictory']",[]
"['TrumpResignNow', 'troops', 'TrumpHatesOurMilitary']",[]
"['Palestina', 'FreePalestine', 'PalestinaLibre']",[]
"['PleaseNeverCancel', 'TrumpIsNotWell']",[]
"['SaudiArabia', 'Saudi', 'SaudiAramco', 'MiddleEast']",[]
"['Palestina', 'FreePalestine', 'PalestinaLibre']",[]
"['Iraqi', 'IraqiRevolution', 'Iraq', 'IraqProtests']",[]
"['US', 'Iranian', 'Iran', 'USA', 'usvsiran', 'IranvsUSA']",[]
"['Palestina', 'FreePalestine', 'PalestinaLibre']",[]
"['LetItBe2021', 'NeoClassic', 'COVID19']",[]
"['Palestine', 'PalestineWillBeFree', 'HumanRights', 'FreePalestine']",[]
['JoeBiden'],[]
"['FakeNewsMedia', 'Americans', 'FakeNewsCNN']",[]
['WarOnThanksgiving'],[]
"['LadyGaga', 'ENIGMA', 'GagaVegas']",[]
"['impeachment', 'NancyIsABoss', 'SOTU']",[]
"['Trump', 'TrumpIsGuilty']",[]
['SpaceForce'],[]
"['BarronTrump', 'RNCConvention2020', 'Trump2020LandslideVictory']",[]
['LockHimUp'],[]
"['Republican', 'TrumpCrimeFamilyForPrison', 'TrumpIsAnIdiot']",[]
[],['https://indianexpress.com/article/pakistan/629-pakistani-girls-sold-as-brides-to-china-6178692/']
['TrumpWantsToInfectUs'],[]
"['SeattleProtest', 'chazseattle']",[]
[],[]
"['Palestine', 'PalestineWillBeFree', 'FreePalestine']",[]
['TrumpKnewAndDidNothing'],[]
"['HumanRightsViolations', 'Humanity', 'Humanrights', 'humanrightsactivists']",[]
"['HumanRights', 'Israel', 'HumanRightsViolations']",[]
"['HumanRights', 'HumanRightsViolations', 'Saudi', 'SaudiArabia']",[]
"['China', 'HumanRightsDay', 'EUdelegation']",['https://www.netherlandsandyou.nl/latest-news/news/2019/12/10/statement-of-the-eu-delegation-in-china-on-international-human-rights-day']
[],[]
"['TrumpIsATraitor', 'TrumpHatesOurVeterans', 'Trump']",[]
"['COVID19', 'TrumpVaccineIsALie', 'TrumpVirus2020', 'BidenHarris']",[]
"['TrumpAmerica', 'realDonaldTrump']",[]
[],[]
['حکایت'],[]
['ریتوییت'],[]
[],[]
[],[]
['TrumpDoesntCare'],[]
['سعدی'],[]
[],[]
[],[]
[],[]
[],[]
[],[]
[],[]
[],[]
[],[]
['TerimaKasihGuru'],[]
"['Arbaeen2020', 'ArbainHusain']",[]
['MaulidNabi2020'],[]
['HariIbu'],[]
['MaulidNabi2020'],[]
"['IngatlahAllahMahaMelihat', '62DaruratKeadilan']",[]
['TerimaKasihGuru'],[]
[],[]
"['GuaidoEstafador', 'VenezuelaLevantate', 'VenezuelaEnDefensaVictoriosa']",[]
"['empire', 'debate2020']",['http://thealtworld.com/caitlin_johnston/russia-could-never-discredit-the-us-empire-the-way-these-guys-just-did']
['TerimaKasihGuru'],[]
[],[]
"['BeirutBlast', 'Lebanon', 'Israel']",[]
"['2020Election', 'flakespower', 'Flake', 'RBGRevolution']",['https://twitter.com/i/events/1307424962383237120']
"['TrumpIsANationalDisgrace', 'tiktokban', 'TheTruthAboutIvanka']",[]
['BelaNegara'],[]
"['Israël', 'Liban']",['http://thealtworld.com/elijah_magnier/pas-de-guerre-israelienne-contre-le-liban-avant-les-prochaines-elections-americaines']
[],[]
[],[]
[],[]
[],[]
"['PalestineWillBeFree', 'PalestineResistance', 'Palestine']",[]
"['IsraelBahrain', 'البحرين', 'SaturdayThoughts']",[]
[],[]
['positivethinking'],[]
[],[]
['JuneWish'],[]
"['parents', 'Children', 'kids', 'solutions']",[]
"['icantbreathe', 'IndonesiaDaruratKomunis']",[]
[],[]
"['Netanyahu', 'Israel', 'UAEIsrael', 'Jewish', 'Arab', 'SaturdayMorning']",[]
[],[]
"['ngakak', 'fun']",[]
"['BuenosDiasATodos', 'FelizMartesATodos', '18Agosto']",[]
[],[]
"['Palestine', 'FreePalestine', 'PalestinianLivesMatter']",[]
[],[]
"['Palestinian', 'Israeli', 'Palestine', 'HumanRights', 'humanity', 'Palestinians']",[]
['DumpTrump2020'],[]
"['Israel', 'US', 'Israeli', 'UnitedStates']",[]
"['Palestinian', 'FreePalestine', 'trumpspeaceplan']",[]
